AB/2 (m),MN/2 (m),App. Res. (Ohm m)
5.0,1.0,720.57
10.0,1.0,587.46
20.0,1.0,333.29
30.0,1.0,198.4
40.0,1.0,163.48
40.0,5.0,129.36
50.0,5.0,119.14
60.0,5.0,124.42
70.0,5.0,123.18
80.0,5.0,120.02
90.0,5.0,124.6
100.0,5.0,126.64
100.0,10.0,129.01
120.0,10.0,135.78
140.0,10.0,141.29
160.0,10.0,144.93
180.0,10.0,159.03
200.0,10.0,165.18
200.0,20.0,170.96
220.0,20.0,185.16
240.0,20.0,185.98
260.0,20.0,193.44
280.0,20.0,230.26
300.0,20.0,248.74
300.0,30.0,297.78
320.0,30.0,305.46
350.0,30.0,245.12
370.0,30.0,248.08
400.0,30.0,356.5
