AB/2 (m),MN/2 (m),App. Res. (Ohm m)
5.0,1.0,1400.55
10.0,1.0,1263.14
20.0,1.0,789.04
30.0,1.0,339.77
40.0,1.0,102.23
40.0,5.0,407.28
50.0,5.0,342.21
60.0,5.0,300.69
70.0,5.0,282.25
80.0,5.0,289.99
90.0,5.0,285.33
100.0,5.0,287.21
100.0,10.0,452.79
120.0,10.0,549.55
140.0,10.0,450.02
180.0,10.0,527.94
200.0,10.0,605.24
200.0,20.0,1059.74
220.0,20.0,1090.19
240.0,20.0,1195.15
260.0,20.0,1391.53
280.0,20.0,1500.69
300.0,20.0,1816.26
320.0,20.0,892.06
350.0,20.0,1116.03
400.0,20.0,1156.91
