AB/2 (m),MN/2 (m),App. Res. (Ohm m)
5.0,1.0,757.47
10.0,1.0,513.93
20.0,1.0,226.03
30.0,1.0,188.0
40.0,1.0,171.08
40.0,5.0,107.27
50.0,5.0,94.46
60.0,5.0,100.46
70.0,5.0,102.16
80.0,5.0,106.27
90.0,5.0,106.17
100.0,5.0,104.46
100.0,10.0,99.25
120.0,10.0,84.46
140.0,10.0,86.94
160.0,10.0,88.36
180.0,10.0,86.19
200.0,10.0,87.13
200.0,20.0,78.25
220.0,20.0,79.39
240.0,20.0,81.64
260.0,20.0,84.92
280.0,20.0,86.54
300.0,20.0,85.39
320.0,20.0,92.89
350.0,20.0,93.55
