,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
51,60.0,0.0,70.0,0.0,110.0,0.0,120.0,0.0,-0.14464476945409513,0.007232238472704756
52,60.0,0.0,70.0,0.0,120.0,0.0,130.0,0.0,-0.11288533170612906,0.005644266585306454
53,60.0,0.0,70.0,0.0,130.0,0.0,140.0,0.0,-0.07746093709404808,0.0038730468547024046
54,60.0,0.0,70.0,0.0,140.0,0.0,150.0,0.0,-0.047477077415051354,0.0023738538707525677
55,60.0,0.0,70.0,0.0,150.0,0.0,160.0,0.0,-0.03201694302818123,0.0016008471514090614
56,80.0,0.0,90.0,0.0,100.0,0.0,110.0,0.0,-3.3501751855278337,0.16750875927639167
57,80.0,0.0,90.0,0.0,110.0,0.0,120.0,0.0,-0.56746895820539,0.0283734479102695
58,80.0,0.0,90.0,0.0,120.0,0.0,130.0,0.0,-0.2714401959600279,0.013572009798001394
59,80.0,0.0,90.0,0.0,130.0,0.0,140.0,0.0,-0.14231284699582172,0.007115642349791086
60,80.0,0.0,90.0,0.0,140.0,0.0,150.0,0.0,-0.09017321728858202,0.004508660864429101
61,80.0,0.0,90.0,0.0,150.0,0.0,160.0,0.0,-0.05805725894052306,0.002902862947026153
62,80.0,0.0,90.0,0.0,160.0,0.0,170.0,0.0,-0.037298516324993994,0.0018649258162496995
63,80.0,0.0,90.0,0.0,170.0,0.0,180.0,0.0,-0.02819501995800986,0.001409750997900493
64,100.0,0.0,110.0,0.0,120.0,0.0,130.0,0.0,-5.150656398104073,0.25753281990520366
65,100.0,0.0,110.0,0.0,130.0,0.0,140.0,0.0,-1.0416112711330516,0.05208056355665258
66,100.0,0.0,110.0,0.0,140.0,0.0,150.0,0.0,-0.3959396879407876,0.01979698439703938
67,100.0,0.0,110.0,0.0,150.0,0.0,160.0,0.0,-0.17767063188104149,0.008883531594052075
68,100.0,0.0,110.0,0.0,160.0,0.0,170.0,0.0,-0.1025305185580625,0.005126525927903125
69,100.0,0.0,110.0,0.0,170.0,0.0,180.0,0.0,-0.05031282566739968,0.0025156412833699845
70,100.0,0.0,110.0,0.0,180.0,0.0,190.0,0.0,-0.03542175803954407,0.0017710879019772032
71,100.0,0.0,110.0,0.0,190.0,0.0,200.0,0.0,-0.024433735533730766,0.0012216867766865383
72,120.0,0.0,130.0,0.0,140.0,0.0,150.0,0.0,-5.912964085336578,0.2956482042668289
73,120.0,0.0,130.0,0.0,150.0,0.0,160.0,0.0,-1.5244079533591606,0.07622039766795803
74,120.0,0.0,130.0,0.0,160.0,0.0,170.0,0.0,-0.6044474652835071,0.03022237326417536
75,120.0,0.0,130.0,0.0,170.0,0.0,180.0,0.0,-0.3006299314263503,0.015031496571317516
76,120.0,0.0,130.0,0.0,180.0,0.0,190.0,0.0,-0.1834141443849124,0.00917070721924562
77,120.0,0.0,130.0,0.0,190.0,0.0,200.0,0.0,-0.11737178866002781,0.005868589433001391
78,160.0,0.0,170.0,0.0,180.0,0.0,190.0,0.0,-5.44962801588047,0.2724814007940235
79,160.0,0.0,170.0,0.0,190.0,0.0,200.0,0.0,-1.555088490105449,0.07775442450527245
80,130.0,0.0,140.0,0.0,150.0,0.0,160.0,0.0,-5.661864811854485,0.2830932405927243
81,130.0,0.0,140.0,0.0,160.0,0.0,170.0,0.0,-1.5877584115455594,0.07938792057727798
82,130.0,0.0,140.0,0.0,170.0,0.0,180.0,0.0,-0.5840301247355586,0.02920150623677793
83,130.0,0.0,140.0,0.0,180.0,0.0,190.0,0.0,-0.28586735847650857,0.014293367923825429
84,130.0,0.0,140.0,0.0,190.0,0.0,200.0,0.0,-0.15094287570426654,0.007547143785213328
85,170.0,0.0,180.0,0.0,190.0,0.0,200.0,0.0,-5.748518815886046,0.2874259407943023
86,70.0,0.0,80.0,0.0,90.0,0.0,100.0,0.0,-4.894674582480134,0.2447337291240067
87,70.0,0.0,80.0,0.0,100.0,0.0,110.0,0.0,-0.5051377940032709,0.02525688970016354
88,70.0,0.0,80.0,0.0,110.0,0.0,120.0,0.0,-0.29163457614589205,0.014581728807294603
89,70.0,0.0,80.0,0.0,120.0,0.0,130.0,0.0,-0.1700345945833019,0.008501729729165096
90,70.0,0.0,80.0,0.0,130.0,0.0,140.0,0.0,-0.1124715616171327,0.0056235780808566345
91,70.0,0.0,80.0,0.0,140.0,0.0,150.0,0.0,-0.06807601759644151,0.0034038008798220752
92,70.0,0.0,80.0,0.0,150.0,0.0,160.0,0.0,-0.04571037920871716,0.002285518960435858
93,70.0,0.0,80.0,0.0,160.0,0.0,170.0,0.0,-0.03611467659885005,0.0018057338299425024
94,90.0,0.0,100.0,0.0,110.0,0.0,120.0,0.0,-3.6747436472694304,0.18373718236347153
95,90.0,0.0,100.0,0.0,120.0,0.0,130.0,0.0,-0.481084286796544,0.0240542143398272
96,90.0,0.0,100.0,0.0,130.0,0.0,140.0,0.0,-0.17147513369016087,0.008573756684508044
97,90.0,0.0,100.0,0.0,140.0,0.0,150.0,0.0,-0.08172760191087025,0.004086380095543513
98,90.0,0.0,100.0,0.0,150.0,0.0,160.0,0.0,-0.04626698660319694,0.002313349330159847
99,90.0,0.0,100.0,0.0,160.0,0.0,170.0,0.0,-0.028079179802055976,0.0014039589901027989
100,90.0,0.0,100.0,0.0,170.0,0.0,180.0,0.0,-0.017786328817947075,0.0008893164408973538
101,90.0,0.0,100.0,0.0,180.0,0.0,190.0,0.0,-0.01346032275840351,0.0006730161379201754
102,110.0,0.0,120.0,0.0,130.0,0.0,140.0,0.0,-6.612183870468643,0.3306091935234321
103,110.0,0.0,120.0,0.0,140.0,0.0,150.0,0.0,-1.7517892123613579,0.08758946061806788
104,110.0,0.0,120.0,0.0,150.0,0.0,160.0,0.0,-0.6623622893662671,0.03311811446831335
105,110.0,0.0,120.0,0.0,160.0,0.0,170.0,0.0,-0.3173326934500607,0.015866634672503033
106,110.0,0.0,120.0,0.0,170.0,0.0,180.0,0.0,-0.18435323856283437,0.009217661928141718
107,110.0,0.0,120.0,0.0,180.0,0.0,190.0,0.0,-0.11613478461124786,0.005806739230562393
108,110.0,0.0,120.0,0.0,190.0,0.0,200.0,0.0,-0.07586471240443797,0.003793235620221899
109,140.0,0.0,150.0,0.0,160.0,0.0,170.0,0.0,-5.888913940373732,0.2944456970186866
110,140.0,0.0,150.0,0.0,170.0,0.0,180.0,0.0,-1.4924330498967047,0.07462165249483524
111,140.0,0.0,150.0,0.0,180.0,0.0,190.0,0.0,-0.5556240493211597,0.027781202466057985
112,140.0,0.0,150.0,0.0,190.0,0.0,200.0,0.0,-0.2710046794761491,0.013550233973807455
113,150.0,0.0,160.0,0.0,170.0,0.0,180.0,0.0,-5.777255616048146,0.2888627808024073
114,150.0,0.0,160.0,0.0,180.0,0.0,190.0,0.0,-1.472067756371204,0.0736033878185602
115,150.0,0.0,160.0,0.0,190.0,0.0,200.0,0.0,-0.5596378725009171,0.027981893625045856
