!C:\2020\Myanmar\Data\kawpiphtaddsautorhoubc.dat
30 80 300 350 -0.0335794 0.653675
30 80 310 360 -0.0265082 0.740014
30 80 320 370 -0.0260743 0.556614
30 80 340 390 -0.0159231 4.71711
30 90 340 400 -0.0265298 3.3174
30 90 400 460 -0.0160809 3.98109
30 90 360 420 -0.0165256 2.63561
30 90 370 430 -0.0182201 1.39046
30 90 380 440 -0.0156544 5.52882
30 90 390 450 -0.0152764 3.05429
30 90 410 470 -0.0240262 0.936168
30 100 400 470 -0.0156287 1.86258
30 100 470 540 -0.017931 0.758707
30 100 460 530 -0.00984071 4.1573
30 110 460 540 -0.0128057 1.57287
30 110 540 620 -0.010146 3.25703
30 110 480 560 -0.0111022 2.64135
30 110 490 570 -0.0109612 2.83539
30 110 500 580 -0.0111267 2.95465
30 110 510 590 -0.00974373 4.95787
30 110 520 600 -0.0119304 4.32568
30 110 530 610 -0.00937634 4.86199
30 120 520 610 -0.0127127 4.29837
30 120 540 630 -0.0113553 3.51214
30 120 550 640 -0.00999291 3.43276
30 120 560 650 -0.00879318 4.35614
30 120 570 660 -0.00838475 3.74677
30 120 580 670 -0.00769805 2.2811
30 120 590 680 -0.00614776 2.4374
30 120 600 690 -0.00585314 3.64712
30 120 620 710 -0.00395161 4.03212
40 50 60 70 -4.68732 0.0416682
40 50 70 80 -0.774323 0.03193
40 50 80 90 -0.198198 0
40 50 90 100 -0.0687473 0.33149
40 50 100 110 -0.0279623 0.170234
40 50 110 120 -0.0194703 14.8543
40 60 100 120 -0.132953 0.674594
40 60 120 140 -0.0437362 2.18723
40 60 130 150 -0.0348481 0.0936826
40 60 150 170 -0.0255476 0.0713791
40 60 140 160 -0.0316704 0.503429
40 60 160 180 -0.0159664 0.263284
40 60 170 190 -0.0231448 1.31509
40 70 170 200 -0.0464418 13.6689
40 70 200 230 -0.03044 0.527934
40 70 220 250 -0.0190996 0.327001
40 70 210 240 -0.0308108 0.701487
40 80 230 270 -0.037063 0.435481
40 80 270 310 -0.0237684 2.80133
40 80 250 290 -0.0235878 0.46938
40 80 290 330 -0.0218156 2.4326
40 80 260 300 -0.0270227 0.145799
40 80 300 340 -0.0311262 0.83242
40 80 280 320 -0.0171475 0.144501
40 90 290 340 -0.031854 0.166383
40 90 340 390 -0.0280426 1.70823
40 90 310 360 -0.0333464 1.82951
40 90 360 410 -0.018447 0.85957
40 90 320 370 -0.0263416 3.20638
40 90 330 380 -0.0261697 6.27273
40 90 350 400 -0.0163209 4.46871
40 100 350 410 -0.026527 3.57696
40 100 410 470 -0.0163322 0.515794
40 110 410 480 -0.0156287 0.960171
40 110 480 550 -0.0179051 1.0504
40 110 440 510 -0.0122008 1.96191
40 110 450 520 -0.0134247 1.75091
40 110 460 530 -0.0138921 0.472172
40 110 470 540 -0.00984071 1.83988
40 120 550 630 -0.010146 1.67005
