,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
57,80.0,0.0,90.0,0.0,110.0,0.0,120.0,0.0,-0.5880778079721561,0.0
58,80.0,0.0,90.0,0.0,120.0,0.0,130.0,0.0,-0.3164562450033413,0.0
59,80.0,0.0,90.0,0.0,130.0,0.0,140.0,0.0,-0.17555782272181591,0.0
60,80.0,0.0,90.0,0.0,140.0,0.0,150.0,0.0,-0.10419496319188645,0.0
61,80.0,0.0,90.0,0.0,150.0,0.0,160.0,0.0,-0.06604549339882754,0.0
62,80.0,0.0,90.0,0.0,160.0,0.0,170.0,0.0,-0.04431093182573601,0.0
63,80.0,0.0,90.0,0.0,170.0,0.0,180.0,0.0,-0.031147036732852938,0.0
64,100.0,0.0,110.0,0.0,120.0,0.0,130.0,0.0,-4.5870455495527995,0.0
65,100.0,0.0,110.0,0.0,130.0,0.0,140.0,0.0,-0.9826340479250036,0.0
66,100.0,0.0,110.0,0.0,140.0,0.0,150.0,0.0,-0.3573988150127066,0.0
67,100.0,0.0,110.0,0.0,150.0,0.0,160.0,0.0,-0.16643240557536193,0.0
68,100.0,0.0,110.0,0.0,160.0,0.0,170.0,0.0,-0.08958367236703701,0.0
69,100.0,0.0,110.0,0.0,170.0,0.0,180.0,0.0,-0.05311121700839671,0.0
70,100.0,0.0,110.0,0.0,180.0,0.0,190.0,0.0,-0.03379166472277312,0.0
71,100.0,0.0,110.0,0.0,190.0,0.0,200.0,0.0,-0.022658772298264622,0.0
72,120.0,0.0,130.0,0.0,140.0,0.0,150.0,0.0,-6.053691485985819,0.0
73,120.0,0.0,130.0,0.0,150.0,0.0,160.0,0.0,-1.526433120953477,0.0
74,120.0,0.0,130.0,0.0,160.0,0.0,170.0,0.0,-0.6105521363515202,0.0
75,120.0,0.0,130.0,0.0,170.0,0.0,180.0,0.0,-0.3029256687493231,0.0
76,120.0,0.0,130.0,0.0,180.0,0.0,190.0,0.0,-0.1705417117645844,0.0
77,120.0,0.0,130.0,0.0,190.0,0.0,200.0,0.0,-0.10436688543147671,0.0
78,160.0,0.0,170.0,0.0,180.0,0.0,190.0,0.0,-5.92548471104906,0.0
79,160.0,0.0,170.0,0.0,190.0,0.0,200.0,0.0,-1.4557878732204705,0.0
80,130.0,0.0,140.0,0.0,150.0,0.0,160.0,0.0,-5.963760892483452,0.0
81,130.0,0.0,140.0,0.0,160.0,0.0,170.0,0.0,-1.4807241762807646,0.0
82,130.0,0.0,140.0,0.0,170.0,0.0,180.0,0.0,-0.5846947134157248,0.0
83,130.0,0.0,140.0,0.0,180.0,0.0,190.0,0.0,-0.2869104770208922,0.0
84,130.0,0.0,140.0,0.0,190.0,0.0,200.0,0.0,-0.15977828147898215,0.0
85,170.0,0.0,180.0,0.0,190.0,0.0,200.0,0.0,-5.923217007127074,0.0
