,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
52,60.0,0.0,70.0,0.0,120.0,0.0,120.0,0.0,-0.5551049021304529,0.02775524510652265
53,60.0,0.0,70.0,0.0,130.0,0.0,130.0,0.0,-0.471488977355295,0.02357444886776475
54,60.0,0.0,70.0,0.0,140.0,0.0,140.0,0.0,-0.36333177764875085,0.01816658888243754
55,60.0,0.0,70.0,0.0,150.0,0.0,150.0,0.0,-0.3059314993273291,0.015296574966366454
56,80.0,0.0,90.0,0.0,100.0,0.0,100.0,0.0,-4.767438903125494,0.2383719451562747
57,80.0,0.0,90.0,0.0,110.0,0.0,110.0,0.0,-1.4646197645138639,0.0732309882256932
58,80.0,0.0,90.0,0.0,120.0,0.0,120.0,0.0,-0.8869741561718644,0.04434870780859322
59,80.0,0.0,90.0,0.0,130.0,0.0,130.0,0.0,-0.5916016829114763,0.029580084145573816
60,80.0,0.0,90.0,0.0,140.0,0.0,140.0,0.0,-0.484213197507635,0.02421065987538175
61,80.0,0.0,90.0,0.0,150.0,0.0,150.0,0.0,-0.4033254355667377,0.020166271778336887
62,80.0,0.0,90.0,0.0,160.0,0.0,160.0,0.0,-0.3328490250045207,0.016642451250226033
63,80.0,0.0,90.0,0.0,170.0,0.0,170.0,0.0,-0.31966807051967866,0.015983403525983934
64,100.0,0.0,110.0,0.0,120.0,0.0,120.0,0.0,-7.282296498996833,0.36411482494984165
65,100.0,0.0,110.0,0.0,130.0,0.0,130.0,0.0,-2.0116268243106736,0.10058134121553369
66,100.0,0.0,110.0,0.0,140.0,0.0,140.0,0.0,-1.0179214193593402,0.050896070967967014
67,100.0,0.0,110.0,0.0,150.0,0.0,150.0,0.0,-0.600972677200963,0.03004863386004815
68,100.0,0.0,110.0,0.0,160.0,0.0,160.0,0.0,-0.45455032367816267,0.02272751618390813
69,100.0,0.0,110.0,0.0,170.0,0.0,170.0,0.0,-0.29163704486342024,0.014581852243171012
70,100.0,0.0,110.0,0.0,180.0,0.0,180.0,0.0,-0.26722889190604027,0.013361444595302014
71,100.0,0.0,110.0,0.0,190.0,0.0,190.0,0.0,-0.2386737493701428,0.01193368746850714
72,120.0,0.0,130.0,0.0,140.0,0.0,140.0,0.0,-9.240290415917709,0.4620145207958855
73,120.0,0.0,130.0,0.0,150.0,0.0,150.0,0.0,-3.3936869604002045,0.1696843480200102
74,120.0,0.0,130.0,0.0,160.0,0.0,160.0,0.0,-1.8479951686842493,0.09239975843421247
75,120.0,0.0,130.0,0.0,170.0,0.0,170.0,0.0,-1.243252353689287,0.06216261768446435
76,120.0,0.0,130.0,0.0,180.0,0.0,180.0,0.0,-1.0189992608441751,0.05094996304220876
77,120.0,0.0,130.0,0.0,190.0,0.0,190.0,0.0,-0.8719772147181699,0.04359886073590849
78,160.0,0.0,170.0,0.0,180.0,0.0,180.0,0.0,-8.41588111591033,0.42079405579551654
79,160.0,0.0,170.0,0.0,190.0,0.0,190.0,0.0,-3.446936862191566,0.17234684310957832
