,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
53,60.0,0.0,60.0,0.0,130.0,0.0,140.0,0.0,0.33539064952171216,0.01676953247608561
54,60.0,0.0,60.0,0.0,140.0,0.0,150.0,0.0,0.29141871175288225,0.014570935587644112
55,60.0,0.0,60.0,0.0,150.0,0.0,160.0,0.0,0.22740349803317983,0.01137017490165899
56,80.0,0.0,80.0,0.0,100.0,0.0,110.0,0.0,0.958921511967236,0.0479460755983618
57,80.0,0.0,80.0,0.0,110.0,0.0,120.0,0.0,0.8955504657648885,0.04477752328824442
58,80.0,0.0,80.0,0.0,120.0,0.0,130.0,0.0,0.6892583579050671,0.03446291789525335
59,80.0,0.0,80.0,0.0,130.0,0.0,140.0,0.0,0.5291651777887412,0.026458258889437057
60,80.0,0.0,80.0,0.0,140.0,0.0,150.0,0.0,0.3774759997800874,0.018873799989004368
61,80.0,0.0,80.0,0.0,150.0,0.0,160.0,0.0,0.3633374278988683,0.018166871394943416
62,80.0,0.0,80.0,0.0,160.0,0.0,170.0,0.0,0.2735061945670581,0.013675309728352904
63,80.0,0.0,80.0,0.0,170.0,0.0,180.0,0.0,0.22264650159863092,0.011132325079931546
64,100.0,0.0,100.0,0.0,120.0,0.0,130.0,0.0,1.5525648748917509,0.07762824374458754
65,100.0,0.0,100.0,0.0,130.0,0.0,140.0,0.0,0.8685293079625331,0.04342646539812666
66,100.0,0.0,100.0,0.0,140.0,0.0,150.0,0.0,0.5945090942759134,0.029725454713795667
67,100.0,0.0,100.0,0.0,150.0,0.0,160.0,0.0,0.439774447847228,0.0219887223923614
68,100.0,0.0,100.0,0.0,160.0,0.0,170.0,0.0,0.3167672607687418,0.015838363038437088
69,100.0,0.0,100.0,0.0,170.0,0.0,180.0,0.0,0.24350886592511822,0.01217544329625591
70,100.0,0.0,100.0,0.0,180.0,0.0,190.0,0.0,0.24027831104492747,0.012013915552246375
71,100.0,0.0,100.0,0.0,190.0,0.0,200.0,0.0,0.17189728774263835,0.008594864387131917
72,120.0,0.0,120.0,0.0,140.0,0.0,150.0,0.0,2.724817148170862,0.1362408574085431
73,120.0,0.0,120.0,0.0,150.0,0.0,160.0,0.0,1.1778628966707851,0.05889314483353925
74,120.0,0.0,120.0,0.0,160.0,0.0,170.0,0.0,0.764179045255582,0.0382089522627791
75,120.0,0.0,120.0,0.0,170.0,0.0,180.0,0.0,0.5189492368779094,0.02594746184389547
76,120.0,0.0,120.0,0.0,180.0,0.0,190.0,0.0,0.3975534092044621,0.019877670460223106
77,120.0,0.0,120.0,0.0,190.0,0.0,200.0,0.0,0.29251521672798336,0.014625760836399168
78,120.0,0.0,120.0,0.0,200.0,0.0,210.0,0.0,0.221300697454593,0.011065034872729649
79,160.0,0.0,160.0,0.0,180.0,0.0,190.0,0.0,2.9628303626495813,0.14814151813247908
80,160.0,0.0,160.0,0.0,190.0,0.0,200.0,0.0,1.314025105577909,0.06570125527889545
81,160.0,0.0,160.0,0.0,200.0,0.0,210.0,0.0,0.8748458471147732,0.043742292355738656
82,130.0,0.0,130.0,0.0,150.0,0.0,160.0,0.0,2.705315858107979,0.13526579290539897
83,130.0,0.0,130.0,0.0,160.0,0.0,170.0,0.0,1.3820104298615175,0.06910052149307587
84,130.0,0.0,130.0,0.0,170.0,0.0,180.0,0.0,0.8139056796431994,0.04069528398215997
