AB/2 (m),MN/2 (m),App. Res. (Ohm m)
6.0,2.0,170.67878918089875
12.0,4.0,170.48924554867986
18.0,6.0,174.43124935520902
24.0,8.0,183.42801802720828
30.0,10.0,192.08575437878486
36.0,12.0,200.99029638760854
42.0,14.0,203.8065144371786
48.0,16.0,209.79431667004076
54.0,18.0,215.6273633880516
60.0,20.0,212.80891110118287
66.0,22.0,217.84585866651273
72.0,24.0,214.16930682479423
78.0,26.0,209.86862534656274
84.0,28.0,212.2325631649769
90.0,30.0,207.77295866922586
96.0,32.0,204.85557801425378
102.0,34.0,207.57448210328113
108.0,36.0,207.14823638598978
114.0,38.0,207.1092135007162
120.0,40.0,207.79447227816303
126.0,42.0,207.7306861154016
132.0,44.0,209.19214472805555
138.0,46.0,211.40373842237423
142.0,48.0,208.36235280849775
146.0,50.0,208.720470942611
150.0,52.0,212.63079348763083
154.0,54.0,210.61321374424205
158.0,56.0,215.23468340861783
162.0,58.0,212.9846874431765
166.0,60.0,219.4866463832297
